央视频道,#genre#
CGTN-阿拉伯语,http://106.113.149.200:2222/rtp/239.254.201.211:4220
CGTN-阿拉伯语,http://101.17.192.171:8007/rtp/239.253.93.198:6376
CCTV-4K,http://101.17.192.171:8007/rtp/239.253.93.134:6631
CCTV-奥林匹克4K,http://106.113.149.200:2222/rtp/239.254.200.7:6346
CCTV-奥林匹克4K,http://106.113.149.200:2222/rtp/239.254.201.150:6345

数字频道,#genre#
电视指南,http://106.113.149.200:2222/rtp/239.254.201.217:7250
电视指南,http://101.17.192.171:8007/rtp/239.253.93.249:6427
电视指南,http://106.113.149.200:2222/rtp/239.254.200.142:6256
电视指南,http://101.17.192.171:8007/rtp/239.253.92.17:6078
怀旧剧场,http://106.113.149.200:2222/rtp/239.254.201.220:7256
怀旧剧场,http://101.17.192.171:8007/rtp/239.253.93.252:6430
怀旧剧场,http://106.113.149.200:2222/rtp/239.254.200.95:6229
怀旧剧场,http://101.17.192.171:8007/rtp/239.253.92.98:6120
第一剧场,http://101.17.192.171:8007/rtp/239.253.93.138:6428
第一剧场,http://106.113.149.200:2222/rtp/239.254.201.218:7258
第一剧场,http://106.113.149.200:2222/rtp/239.254.200.93:6227
第一剧场,http://101.17.192.171:8007/rtp/239.253.92.18:6079
欢笑剧场,http://101.17.192.171:8007/rtp/239.253.93.223:6401
欢笑剧场,http://106.113.149.200:2222/rtp/239.254.201.164:6355
都市剧场,http://101.17.192.171:8007/rtp/239.253.93.227:6405
都市剧场,http://106.113.149.200:2222/rtp/239.254.201.167:6360
风云剧场,http://101.17.192.171:8007/rtp/239.253.93.251:6429
风云剧场,http://106.113.149.200:2222/rtp/239.254.201.219:7257
风云剧场,http://106.113.149.200:2222/rtp/239.254.200.94:6228
风云剧场,http://101.17.192.171:8007/rtp/239.253.92.22:6073
文化精品,http://101.17.192.171:8007/rtp/239.253.93.175:6439
文化精品,http://106.113.149.200:2222/rtp/239.254.201.229:7260
文化精品,http://106.113.149.200:2222/rtp/239.254.200.111:6251
文化精品,http://101.17.192.171:8007/rtp/239.253.92.25:6104
风云音乐,http://106.113.149.200:2222/rtp/239.254.201.221:7259
风云音乐,http://101.17.192.171:8007/rtp/239.253.93.253:6431
风云音乐,http://106.113.149.200:2222/rtp/239.254.200.96:6230
风云音乐,http://101.17.192.171:8007/rtp/239.253.92.111:8060
梨园,http://101.17.192.171:8007/rtp/239.253.93.133:6441
梨园,http://106.113.149.200:2222/rtp/239.254.201.231:7228
梨园,http://101.17.192.171:8007/rtp/239.253.92.152:8086
梨园,http://106.113.149.200:2222/rtp/239.254.200.120:6247
世界地理,http://101.17.192.171:8007/rtp/239.253.92.131:6113
世界地理,http://106.113.149.200:2222/rtp/239.254.201.226:7254
世界地理,http://101.17.192.171:8007/rtp/239.253.92.113:8066
世界地理,http://106.113.149.200:2222/rtp/239.254.200.102:6236
发现之旅,http://101.17.192.171:8007/rtp/239.253.94.30:6629
求索纪录,http://101.17.192.171:8007/rtp/239.253.93.236:6414
求索纪录,http://106.113.149.200:2222/rtp/239.254.201.176:7221
环球奇观,http://101.17.192.171:8007/rtp/239.253.92.130:8069
环球奇观,http://106.113.149.200:2222/rtp/239.254.200.105:6238
环球旅游,http://106.113.149.200:2222/rtp/239.254.201.161:6264
环球旅游,http://101.17.192.171:8007/rtp/239.253.93.220:6398
生态环境,http://106.113.149.200:2222/rtp/239.254.201.187:6226
生态环境,http://101.17.192.171:8007/rtp/239.253.93.245:6423
百姓健康,http://101.17.192.171:8007/rtp/239.253.92.199:6568
兵器科技,http://106.113.149.200:2222/rtp/239.254.201.225:7249
兵器科技,http://101.17.192.171:8007/rtp/239.253.93.47:6435
兵器科技,http://106.113.149.200:2222/rtp/239.254.200.101:6235
兵器科技,http://101.17.192.171:8007/rtp/239.253.92.119:8065
四海钓鱼,http://106.113.149.200:2222/rtp/239.254.201.185:6363
四海钓鱼,http://101.17.192.171:8007/rtp/239.253.93.243:6421
快乐垂钓,http://114.254.35.75:18888/rtp/239.3.1.164:8001
快乐垂钓,http://101.17.192.171:8007/rtp/239.253.93.213:6391
快乐垂钓,http://106.113.149.200:2222/rtp/239.254.200.229:6257
文物宝库,http://101.17.192.171:8007/rtp/239.253.93.180:6437
文物宝库,http://106.113.149.200:2222/rtp/239.254.201.227:7230
文物宝库,http://101.17.192.171:8007/rtp/239.253.92.159:8070
文物宝库,http://106.113.149.200:2222/rtp/239.254.200.106:6239
老故事,http://106.113.149.200:2222/rtp/239.254.200.104:6237
老故事,http://101.17.192.171:8007/rtp/239.253.92.132:8068
书画,http://101.17.192.171:8007/rtp/239.253.93.214:6392
书画,http://106.113.149.200:2222/rtp/239.254.200.217:6267
摄影,http://101.17.192.171:8007/rtp/239.253.93.215:6393
摄影,http://106.113.149.200:2222/rtp/239.254.200.119:6246
茶频道,http://101.17.192.171:8007/rtp/239.253.93.212:6390
茶频道,http://114.254.35.75:18888/rtp/239.3.1.165:8001
茶频道,http://106.113.149.200:2222/rtp/239.254.200.228:6258
